frame_id,source,frame,camera,folder,blur,brightness,blur_bin,brightness_bin,max_conf,conf_band,n_boxes,max_area_frac,large_box
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0875.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0875.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/102GOPRO,64.5,18.2,mid,low,0.000,none,0,0.000000,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0886.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0886.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/102GOPRO,13.7,3.8,low,low,0.000,none,0,0.000000,no
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0974.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0974.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/102GOPRO,68.0,39.4,high,low,0.625,high,3,0.388800,yes
ALLFISHDATA/Predator camera/DCIM/102GOPRO/GOPR0979.JPG,ALLFISHDATA,Predator camera/DCIM/102GOPRO/GOPR0979.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/102GOPRO,56.7,45.8,mid,low,0.120,low,1,0.018979,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1009.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1009.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/103GOPRO,41.1,16.2,low,low,0.000,none,0,0.000000,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1050.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1050.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/103GOPRO,47.2,12.0,mid,low,0.000,none,0,0.000000,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1084.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1084.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/103GOPRO,65.6,44.5,mid,low,0.424,mid,2,0.444968,yes
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1093.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1093.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/103GOPRO,74.6,53.0,high,low,0.701,high,3,0.444948,yes
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1108.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1108.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/103GOPRO,45.3,67.6,low,low,0.586,high,3,0.434505,yes
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1424.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1424.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/103GOPRO,42.1,112.2,low,high,0.178,low,1,0.000578,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1444.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1444.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/103GOPRO,44.0,112.9,low,high,0.000,none,0,0.000000,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1454.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1454.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/103GOPRO,72.0,101.2,high,mid,0.875,high,2,0.128217,yes
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1459.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1459.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/103GOPRO,2297.5,131.0,high,high,0.000,none,0,0.000000,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1464.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1464.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/103GOPRO,56.7,130.3,mid,high,0.000,none,0,0.000000,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1503.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1503.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/103GOPRO,77.2,129.0,high,high,0.101,low,1,0.000499,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1517.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1517.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/103GOPRO,63.3,129.4,mid,high,0.214,low,3,0.012432,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1518.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1518.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/103GOPRO,51.7,129.8,mid,high,0.458,mid,5,0.022145,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1646.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1646.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/103GOPRO,76.0,122.9,high,high,0.570,high,1,0.006750,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1658.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1658.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/103GOPRO,55.7,120.5,mid,high,0.634,high,6,0.012399,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1808.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1808.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/103GOPRO,70.7,115.0,high,high,0.485,mid,2,0.005670,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1876.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1876.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/103GOPRO,111.8,64.1,high,low,0.155,low,1,0.000581,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1882.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1882.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/103GOPRO,167.7,55.3,high,low,0.000,none,0,0.000000,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1908.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1908.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/103GOPRO,121.5,23.5,high,low,0.334,mid,1,0.003742,no
ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1916.JPG,ALLFISHDATA,Predator camera/DCIM/103GOPRO/GOPR1916.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/103GOPRO,34.4,9.0,low,low,0.363,mid,1,0.000946,no
ALLFISHDATA/Predator camera/DCIM/104GOPRO/GOPR2203.JPG,ALLFISHDATA,Predator camera/DCIM/104GOPRO/GOPR2203.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/104GOPRO,7.7,4.6,low,low,0.000,none,0,0.000000,no
ALLFISHDATA/Predator camera/DCIM/104GOPRO/GOPR2414.JPG,ALLFISHDATA,Predator camera/DCIM/104GOPRO/GOPR2414.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/104GOPRO,130.0,22.2,high,low,0.119,low,1,0.002421,no
ALLFISHDATA/Predator camera/DCIM/104GOPRO/GOPR2416.JPG,ALLFISHDATA,Predator camera/DCIM/104GOPRO/GOPR2416.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/104GOPRO,145.6,32.6,high,low,0.000,none,0,0.000000,no
ALLFISHDATA/Predator camera/DCIM/104GOPRO/GOPR2418.JPG,ALLFISHDATA,Predator camera/DCIM/104GOPRO/GOPR2418.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/104GOPRO,140.9,45.6,high,low,0.336,mid,1,0.000243,no
ALLFISHDATA/Predator camera/DCIM/104GOPRO/GOPR2429.JPG,ALLFISHDATA,Predator camera/DCIM/104GOPRO/GOPR2429.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/104GOPRO,91.0,85.0,high,mid,0.000,none,0,0.000000,no
ALLFISHDATA/Predator camera/DCIM/104GOPRO/GOPR2460.JPG,ALLFISHDATA,Predator camera/DCIM/104GOPRO/GOPR2460.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/104GOPRO,72.9,109.3,high,mid,0.569,high,2,0.046289,no
ALLFISHDATA/Predator camera/DCIM/104GOPRO/GOPR2513.JPG,ALLFISHDATA,Predator camera/DCIM/104GOPRO/GOPR2513.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/104GOPRO,43.0,118.2,low,high,0.000,none,0,0.000000,no
ALLFISHDATA/Predator camera/DCIM/104GOPRO/GOPR2568.JPG,ALLFISHDATA,Predator camera/DCIM/104GOPRO/GOPR2568.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/104GOPRO,50.4,121.2,mid,high,0.345,mid,1,0.011151,no
ALLFISHDATA/Predator camera/DCIM/104GOPRO/GOPR2573.JPG,ALLFISHDATA,Predator camera/DCIM/104GOPRO/GOPR2573.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/104GOPRO,57.3,121.5,mid,high,0.687,high,1,0.013019,no
ALLFISHDATA/Predator camera/DCIM/104GOPRO/GOPR2596.JPG,ALLFISHDATA,Predator camera/DCIM/104GOPRO/GOPR2596.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/104GOPRO,84.9,112.7,high,high,0.250,mid,1,0.004252,no
ALLFISHDATA/Predator camera/DCIM/104GOPRO/GOPR2655.JPG,ALLFISHDATA,Predator camera/DCIM/104GOPRO/GOPR2655.JPG,Predator,ALLFISHDATA/Predator camera/DCIM/104GOPRO,58.9,123.7,mid,high,0.000,none,0,0.000000,no
